Elapsed Time (s),n2dRaw,t,n2d
164559.771690369,275134492631886,,
164561.443312168,277109756383397,,
164563.116686821,277073229155904,,
164564.93648243,287487217684914,,
164566.601361513,290527453788566,,
164568.332601547,286375295905134,,
164570.165284872,281270323641684,,
164571.937544823,277631308582285,,
164573.757318497,281546710996984,,
164575.466105938,282628822726876,,
164577.269298077,281069267226692,,
164578.947879553,282104650802878,,
164580.671420574,281425972998871,,
164582.481082439,282278152701064,,
164584.139053345,284397183001871,,
164585.914470196,285545021688960,,
164587.733108521,282636501664681,,
164589.439283133,283260456755521,,
164591.208610535,281123945508518,,
164592.923475027,283952326895936,,
164594.583691359,287410189610261,,
164596.388048172,290465410215716,,
164598.086415768,294252397897420,,
164599.771656036,290114361852086,,
164601.538788796,277138978233123,,
164603.253191471,275240643024833,,
164605.057548523,278397960591156,,
164606.85897541,280831189415650,,
164608.604020119,282695466910843,,
164610.451093435,280100294190901,,
164612.198764086,281135622796724,,
164613.917817354,283761193418413,,
164615.753659248,287646793880227,,
164617.567342997,278144773241634,,
164619.364412308,280202583475609,,
164621.182301283,281284003021927,,
164622.957554817,284756828743781,,
164624.774808168,290018023154916,,
164626.464214087,286833222071971,,
164628.156682014,280511612337789,,
164629.967358112,277693757215010,,
164631.722823381,276318895611080,,
164633.584169388,287202550029727,,
164635.272424936,292388591375607,,
164637.058824778,295737488511839,,
164638.7768085,288449491600619,,
164640.447762013,287721012081820,,
164642.256880045,285963931348031,,
164643.954299688,282565334262524,,
164645.745667219,285595619315948,,
164647.452772856,294248317676183,,
164649.11687994,291085612595189,,
164650.949057102,288317834912548,,
164652.636129618,290059595460213,,
164654.450302124,287115866431327,,
164656.14291358,286565918156121,,
164657.861242533,285035570539447,,
164659.677734852,285357264656480,,
164661.369155169,285792437566126,,
164663.164852381,293463417951690,,
164664.840207815,290369775515313,,
164666.545896053,292440634249503,,
164668.357435703,295489983844784,,
164670.240185976,287294902208399,,
164672.046798468,278816329696584,,
164673.683442354,280101691986584,,
164675.397530317,285807024780400,,
164677.196805716,288032374578867,,
164678.897204399,283207829133164,,
164680.703604698,282693636574450,,
164682.529048681,285954302823279,,
164684.20276928,283177631969348,,
164686.065918446,290761963924330,,
164687.777666807,287626143227730,,
164689.439754486,284579291464621,,
164691.366526127,291089214503460,,
164693.058488131,297996373842873,,
164694.915146351,300811384198092,,
164696.574940681,293050757929176,,
164698.271458149,284684627397255,,
164700.061229229,279527762538877,,
164701.771526337,278535540300313,,
164703.526985884,286775405306619,,
164705.364216566,288946756371156,,
164707.076709271,284919478221739,,
164708.862281799,284838717282159,,
164710.568935156,279033953123008,,
164712.254238367,279329733339717,,
164714.087634563,285535988893619,,
164715.761908054,289735278577879,,
164717.527788639,290898103501283,,
164719.227754831,289584268911273,,
164720.918163776,288421455210904,,
164722.780511141,293573713964716,,
164724.425228834,287926607942514,,
164726.213626623,278599471438023,,
164727.905623198,285042561116481,,
164729.768458843,288647204541649,,
164732.464151621,286870389896739,,
164734.164769173,287596141962516,,
164735.864432097,276088307498455,,
