Parameters:
  Sample : 50
  Solvent : <unspecified>
  Comment : 7:27
  Exc_Wavelength : 376.7 nm
  Exc_Bandpass : 1.8 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Intensity : 94 %
  Exc_Attenuation : open (5)
  Det_Wavelength : 496.0 nm
  Det_Bandpass : 9.4 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 7.7 mm
  Det_Attenuation : 10 %
  Det_Filter : 405 LP (5)
  Det_Grating : 1200gr_500bl (1)
  Detector : UV-VIS [HPD]
  Meas_Time : 0.0 s
  Meas_BinWidth : 128000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 10000 counts
  Meas_PeakCounts : 10000 counts
  Sync_Frequency : 3000 Hz
  Sync_Source : PDL 820
  Base Sync Rate : 40.0 MHz
  Number of Bursts : 50 
  Effective Sync Rate : 3.0 kHz
  Signal_Rate : 940 cps
  Start_Date : 12/11/2023
  Start_Time : 10:20:22
  PhotonCounter : TimeHarp 260 N 1031483 0111-0120-01.21
  EasyTau : 3313
  Signal_TrigLevel : -30 mV
  Signal_TrigEdge : false
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -80 mV
  Sync_TrigEdge : false
  Sync_Offset : 36000 ps
  Sync_SyncDiv : 1 

Data:
Time [ns]	Intensity [Cnts.]
116095.994599164	3
116223.993245512	0
116351.999167819	3
116479.997814167	2
116607.996460516	3
116735.995106865	0
116863.993753213	5
116991.99967552	3
117119.998321868	4
117247.996968217	1
117375.995614566	4
117503.994260915	2
117632.000183221	5
117759.99882957	4
117887.997475918	1
118015.996122267	3
118143.994768616	2
118271.993414965	4
118399.999337271	4
118527.99798362	2
118655.996629968	6
118783.995276317	3
118911.993922666	5
119039.999844972	1
119167.998491321	2
119295.997137669	0
119423.995784018	4
119551.994430367	0
119679.993076716	1
119807.998999022	3
119935.997645371	5
120063.996291719	2
120191.994938068	2
120319.993584417	2
120447.999506723	2
120575.998153072	4
120703.996799421	1
120831.995445769	1
120959.994092118	2
121088.000014424	1
121215.998660773	2
121343.997307122	1
121471.99595347	2
121599.994599819	1
121727.993246168	2
121855.999168474	4
121983.997814823	1
122112.003737129	3
122240.002383478	1
122368.001029827	2
122495.999676175	6
122623.998322524	2
122751.996968873	3
122879.995615222	1
123007.99426157	0
123135.992907919	3
123263.991554268	0
123391.990200616	1
123520.00339888	2
123648.002045229	3
123776.000691578	4
123903.999337926	3
124031.997984275	5
124159.996630624	1
124287.995276973	0
124415.993923321	2
124543.99256967	3
124671.991216019	3
124799.989862368	1
124928.003060631	1
125056.00170698	2
125184.000353329	0
125311.998999678	2
125439.997646026	5
125567.996292375	2
125695.994938724	1
125823.993585072	3
125951.992231421	1
126079.99087777	3
126207.989524119	2
126336.002722383	4
126464.001368731	0
126592.00001508	3
126719.998661429	0
126847.997307777	1
126975.995954126	2
127103.994600475	3
127231.993246824	2
